Treaty,Query,
ICERD,International Convention on the Elimination of All Forms of Racial Discrimination, 
ICCPR,International Covenant on Civil and Political Rights, 
ICESCR,"International Covenant on Economic, Social and Cultural Rights", 
CEDAW,Convention on the Elimination of All Forms of Discrimination against Women, 
CAT,"Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment", 
CRC,Convention on the Rights of the Child , 
ICMRW,International Convention on Protection of the Rights of All Migrant Workers and Members of Their Families, 
CED,Convention on Enforced Disappearances,
Genocide,Convention Against Genocide,
Stateless Persons,Convention on the Reduction of Statelessness,
Refugees,Protocol Relating to the Status of Refugees,
Protocol II,Proocol 2 to Geneva Convention,
